B365H,B365A,B365D
2.0,4.0,3.3
2.88,2.5,3.25
2.2,3.4,3.3
1.17,17.0,7.0
2.1,3.6,3.3
2.4,3.0,3.3
1.83,4.5,3.5
2.3,3.2,3.25
2.5,2.88,3.25
1.25,15.0,5.5
1.17,19.0,7.0
2.2,3.4,3.25
1.5,7.0,4.0
3.4,2.2,3.3
2.5,2.88,3.25
2.25,3.25,3.3
15.0,1.22,6.0
6.0,1.57,4.0
3.2,2.3,3.25
2.38,3.1,3.25
6.0,1.57,4.0
3.2,2.3,3.25
1.11,23.0,9.0
1.14,19.0,8.0
1.25,13.0,5.75
2.4,3.1,3.2
2.5,2.88,3.25
2.1,3.6,3.3
1.22,15.0,6.0
4.5,1.83,3.5
1.25,13.0,5.5
4.2,1.91,3.4
1.83,4.5,3.5
1.33,10.0,5.0
1.57,6.0,4.0
3.75,2.1,3.25
10.0,1.33,5.0
2.5,2.88,3.25
3.1,2.4,3.2
2.5,2.88,3.25
1.8,4.5,3.6
2.0,4.0,3.3
1.62,6.0,3.75
1.91,4.2,3.4
5.5,1.67,3.7
1.4,8.5,4.5
2.25,3.25,3.3
1.1,26.0,9.0
1.7,5.5,3.5
5.0,1.73,3.6
1.22,15.0,6.0
1.83,4.5,3.5
3.2,2.3,3.25
2.75,2.63,3.2
1.44,7.5,4.33
3.6,2.1,3.3
3.5,2.1,3.4
7.5,1.5,4.0
1.91,4.2,3.4
2.88,2.5,3.25
2.88,2.63,3.1
2.25,3.4,3.2
5.0,1.75,3.5
1.91,4.0,3.5
2.1,3.75,3.25
2.25,3.3,3.25
2.25,3.3,3.25
1.73,5.0,3.6
1.33,10.0,5.0
1.44,8.5,4.0
1.29,11.0,5.5
5.0,1.73,3.6
2.2,3.5,3.2
2.88,2.5,3.25
1.25,12.0,5.75
1.83,4.5,3.5
2.25,3.4,3.2
5.5,1.62,4.0
2.4,3.0,3.25
2.1,3.6,3.3
1.83,4.33,3.6
1.13,19.0,8.5
2.4,3.0,3.25
2.1,3.75,3.25
2.2,3.4,3.25
2.38,3.1,3.25
2.38,3.1,3.25
1.67,5.5,3.6
2.5,2.9,3.2
5.5,1.67,3.75
1.17,17.0,7.0
7.5,1.44,4.33
1.57,6.5,3.75
1.91,4.2,3.4
1.57,6.0,4.0
5.5,1.73,3.4
1.8,4.5,3.6
3.4,2.2,3.25
2.2,3.5,3.2
2.9,2.5,3.25
1.91,4.2,3.4
1.8,4.5,3.6
4.5,1.8,3.6
3.0,2.4,3.3
2.2,3.4,3.25
1.22,15.0,6.0
2.1,3.75,3.2
1.29,11.0,5.5
3.8,2.0,3.4
3.6,2.1,3.3
2.1,3.75,3.2
1.53,6.5,4.0
1.62,6.0,3.75
1.2,15.0,6.5
1.62,6.0,3.75
2.63,2.75,3.25
1.91,4.2,3.4
2.3,3.2,3.25
4.75,1.75,3.6
5.5,1.67,3.6
4.5,1.8,3.6
1.4,8.5,4.5
1.91,4.2,3.4
3.75,2.1,3.25
1.57,6.5,3.8
1.91,4.0,3.6
2.5,2.88,3.25
2.4,3.2,3.1
1.22,15.0,5.75
3.4,2.2,3.3
1.62,5.5,4.0
5.0,1.73,3.6
2.5,2.88,3.3
2.1,3.6,3.3
1.57,6.5,3.8
1.22,15.0,6.0
2.2,3.5,3.2
2.3,3.25,3.25
3.2,2.4,3.1
2.6,2.8,3.2
3.4,2.2,3.3
1.57,5.5,4.2
1.57,6.5,3.8
2.0,4.0,3.3
1.25,13.0,5.5
3.4,2.2,3.25
2.0,3.75,3.5
2.6,2.8,3.2
5.0,1.73,3.6
2.0,3.8,3.4
1.29,12.0,5.25
3.5,2.1,3.4
1.73,5.0,3.6
1.36,9.0,4.75
1.53,6.5,4.0
2.75,2.63,3.2
1.83,4.5,3.5
2.25,3.25,3.3
1.62,6.0,3.75
2.1,3.6,3.3
1.4,9.0,4.5
2.2,3.4,3.25
3.8,2.0,3.4
1.62,5.5,4.0
4.5,1.8,3.6
2.0,4.0,3.3
2.8,2.6,3.25
2.4,3.0,3.25
2.0,3.8,3.4
1.8,4.5,3.6
2.2,3.5,3.2
1.73,5.0,3.6
3.2,2.3,3.3
2.3,3.2,3.2
2.1,3.75,3.25
1.91,4.2,3.4
1.29,11.0,5.5
3.25,2.25,3.25
2.1,3.6,3.3
2.63,2.75,3.2
6.5,1.5,4.33
1.44,8.0,4.2
1.83,4.75,3.4
1.62,6.0,3.75
1.53,6.5,4.0
1.83,4.5,3.5
3.4,2.25,3.2
1.29,11.0,5.5
1.33,10.0,5.0
6.5,1.5,4.2
5.5,1.67,3.6
1.7,5.0,3.75
1.29,10.0,5.5
2.63,2.75,3.2
1.83,4.5,3.5
1.4,8.5,4.5
6.0,1.53,4.2
2.0,3.8,3.4
1.25,13.0,5.5
2.5,2.9,3.2
2.3,3.25,3.25
2.2,3.4,3.25
1.25,12.0,5.75
1.91,4.0,3.6
2.2,3.4,3.25
3.4,2.2,3.25
1.73,5.0,3.6
2.63,2.75,3.25
1.83,4.33,3.6
8.0,1.44,4.2
3.8,1.91,3.75
1.29,11.0,5.5
1.33,10.0,5.0
2.1,3.75,3.25
1.8,4.5,3.6
6.0,1.57,4.0
2.5,2.88,3.25
2.4,3.1,3.2
2.2,3.5,3.2
2.2,3.4,3.25
2.88,2.5,3.3
1.2,15.0,6.5
3.5,2.1,3.4
2.5,2.88,3.25
1.5,7.5,4.0
2.2,3.5,3.2
1.2,15.0,6.5
3.5,2.1,3.4
3.4,2.25,3.2
2.25,3.25,3.3
6.0,1.62,3.75
8.0,1.36,5.0
3.2,2.3,3.25
1.53,7.0,3.8
1.4,8.5,4.5
1.33,9.5,5.0
5.5,1.67,3.6
1.73,5.0,3.6
4.5,1.83,3.5
3.25,2.2,3.4
2.38,3.0,3.3
1.83,4.5,3.5
2.1,3.6,3.3
1.62,6.0,3.75
1.91,4.2,3.4
1.44,7.0,4.5
1.4,8.5,4.5
5.0,1.67,4.0
2.1,3.75,3.2
1.57,6.0,4.0
2.5,2.9,3.25
8.5,1.4,4.5
1.62,5.5,4.0
2.0,3.75,3.5
1.22,15.0,6.0
2.5,2.9,3.2
2.1,3.5,3.4
3.25,2.2,3.4
1.36,9.0,4.75
1.73,5.0,3.6
2.75,2.6,3.25
1.91,4.0,3.6
2.75,2.6,3.25
5.0,1.73,3.6
2.6,2.8,3.2
1.85,4.5,3.4
4.0,1.91,3.6
1.3,10.0,5.25
1.73,5.0,3.6
1.73,5.0,3.6
2.1,3.75,3.25
6.5,1.53,4.0
1.83,4.33,3.6
1.5,7.5,4.0
3.4,2.2,3.3
1.91,4.2,3.4
2.2,3.6,3.2
1.44,7.5,4.33
2.38,3.1,3.2
2.25,3.2,3.4
1.73,5.0,3.6
1.36,9.0,4.75
2.6,2.8,3.2
2.25,3.25,3.3
2.8,2.6,3.2
3.0,2.38,3.3
10.0,1.3,5.5
1.53,6.5,4.0
1.83,4.5,3.5
1.8,4.5,3.6
2.0,4.0,3.25
1.36,9.0,4.75
2.2,3.4,3.25
1.57,6.0,4.0
5.0,1.73,3.6
2.1,3.6,3.3
1.62,6.0,3.75
2.63,2.75,3.2
1.25,11.0,6.0
2.5,2.88,3.25
1.83,4.33,3.6
1.95,4.0,3.4
5.5,1.67,3.6
3.0,2.38,3.3
4.5,1.8,3.6
3.0,2.4,3.25
1.53,6.0,4.2
1.5,7.0,4.0
2.0,4.0,3.3
2.2,3.4,3.25
1.2,17.0,6.0
1.44,7.5,4.33
2.2,3.5,3.2
1.73,5.0,3.6
2.6,2.8,3.25
1.83,4.33,3.6
8.5,1.36,5.0
2.6,2.8,3.2
2.25,3.4,3.2
2.3,3.0,3.5
1.67,5.5,3.75
5.5,1.7,3.6
2.25,3.25,3.3
1.73,5.0,3.6
5.5,1.67,3.6
1.2,15.0,6.5
2.88,2.4,3.4
1.8,4.5,3.6
2.88,2.38,3.5
1.2,15.0,6.5
1.44,7.5,4.33
1.44,7.5,4.33
2.1,3.75,3.25
1.57,6.0,4.0
2.5,2.88,3.25
4.5,1.75,3.8
3.6,2.1,3.3
1.8,5.0,3.4
1.8,4.75,3.5
1.91,4.0,3.5
2.63,2.63,3.4
1.44,7.5,4.33
2.6,2.8,3.2
2.38,3.0,3.3
2.8,2.6,3.25
2.5,2.88,3.25
2.1,3.6,3.3
1.44,7.5,4.33
1.4,9.0,4.5
1.8,4.5,3.6
1.83,4.5,3.5
2.7,2.7,3.2
1.91,4.2,3.4
1.3,10.0,5.5
1.95,3.8,3.6
2.38,3.1,3.25
5.5,1.67,3.75
2.1,3.5,3.4
2.88,2.5,3.25
1.91,4.2,3.4
5.0,1.73,3.6
2.2,3.25,3.4
2.5,2.88,3.25
2.63,2.75,3.25
1.36,8.5,5.0
2.2,3.4,3.25
1.25,11.0,6.0
1.73,4.75,3.8
2.1,3.5,3.4
1.36,9.0,4.75
3.2,2.25,3.4
5.0,1.7,3.75
3.1,2.38,3.25
3.75,1.95,3.6
1.6,5.5,4.0
2.0,3.75,3.5
2.75,2.4,3.6
1.53,6.5,4.0
2.0,3.75,3.5
2.2,3.75,3.0
2.2,3.5,3.2
2.2,3.5,3.2
1.57,7.0,3.6
3.75,2.1,3.25
2.4,3.0,3.25
2.2,3.5,3.2
5.5,1.7,3.5
6.5,1.53,4.0
1.29,13.0,5.0
2.5,2.9,3.25
1.73,5.5,3.4
1.3,10.0,5.5
1.53,7.0,3.8
2.2,3.4,3.25
2.1,3.6,3.3
4.75,1.8,3.5
2.6,2.75,3.3
2.38,3.1,3.25
1.67,5.5,3.75
2.1,3.75,3.25
3.3,2.25,3.25
1.2,15.0,6.5
1.4,8.5,4.5
2.38,3.0,3.3
2.25,3.25,3.3
1.5,6.5,4.33
2.1,3.75,3.25
2.88,2.5,3.3
2.1,3.75,3.25
1.36,9.0,4.75
9.0,1.4,4.5
2.0,3.8,3.4
1.17,17.0,7.0
3.25,2.25,3.3
5.0,1.7,3.75
3.0,2.4,3.25
1.67,5.5,3.6
2.5,2.88,3.25
2.4,3.0,3.25
1.91,4.2,3.4
4.2,1.91,3.4
1.8,4.6,3.6
1.5,7.0,4.0
2.63,2.75,3.2
1.91,4.2,3.4
6.5,1.57,3.8
1.83,4.5,3.5
2.4,3.1,3.2
2.63,2.63,3.4
1.44,7.0,4.5
1.2,15.0,6.5
1.36,10.0,4.5
1.44,7.5,4.33
1.83,4.5,3.5
6.5,1.53,4.0
2.3,3.25,3.25
4.0,1.91,3.5
2.3,3.2,3.25
2.5,2.8,3.4
1.62,6.0,3.75
6.5,1.57,3.75
3.1,2.4,3.2
1.17,17.0,7.0
2.25,3.2,3.4
2.5,2.88,3.25
6.5,1.53,4.0
2.0,4.0,3.3
2.63,2.75,3.25
2.1,3.5,3.4
1.36,10.0,4.5
3.0,2.4,3.3
1.33,10.0,5.0
2.2,3.4,3.3
1.83,4.5,3.5
2.2,3.5,3.2
2.3,3.2,3.3
1.44,7.5,4.33
3.0,2.4,3.3
2.0,4.0,3.3
2.0,4.0,3.3
2.2,3.5,3.2
1.29,11.0,5.5
1.57,6.5,3.8
2.0,3.8,3.4
1.53,6.5,4.0
4.0,1.91,3.5
2.25,3.3,3.25
2.0,3.8,3.4
9.5,1.33,5.0
1.62,5.5,4.0
4.5,1.8,3.6
1.17,19.0,7.0
1.91,4.0,3.6
2.1,3.6,3.3
2.1,3.6,3.3
4.0,2.0,3.3
2.88,2.5,3.25
1.36,9.0,4.75
2.1,3.8,3.2
1.4,8.5,4.5
1.83,4.5,3.5
7.5,1.44,4.33
1.29,10.0,5.5
1.25,13.0,5.5
2.25,3.3,3.25
10.0,1.33,5.0
2.4,3.0,3.3
3.25,2.25,3.3
1.91,4.33,3.3
1.57,6.5,3.75
1.3,10.0,5.5
5.5,1.67,3.6
1.83,4.5,3.5
2.3,3.2,3.25
6.5,1.5,4.2
2.0,3.8,3.4
2.5,2.88,3.25
1.83,4.5,3.5
1.57,6.0,4.0
1.44,8.0,4.2
3.1,2.38,3.25
1.22,15.0,6.0
1.4,8.5,4.5
2.1,3.5,3.4
1.83,4.5,3.5
1.67,5.5,3.6
4.0,1.91,3.6
2.75,2.63,3.2
2.2,3.4,3.25
5.0,1.73,3.6
2.1,3.5,3.4
1.17,17.0,7.0
3.5,2.1,3.4
2.25,3.25,3.3
1.3,12.0,5.0
6.0,1.57,4.0
1.67,5.5,3.6
2.4,3.0,3.3
3.5,2.1,3.4
1.53,6.5,4.0
2.5,2.88,3.3
1.33,10.0,5.0
1.22,15.0,6.0
2.4,2.88,3.4
2.63,2.75,3.25
1.67,5.25,3.8
3.75,2.0,3.5
1.83,4.5,3.5
2.4,3.0,3.3
2.38,3.0,3.3
1.62,6.0,3.75
1.62,6.0,3.75
1.8,4.5,3.6
9.0,1.36,4.75
2.5,2.88,3.25
4.2,1.91,3.4
1.73,4.5,3.75
7.5,1.44,4.33
1.36,9.0,4.75
2.1,3.5,3.4
2.0,3.75,3.5
5.0,1.73,3.6
1.57,6.5,3.75
5.0,1.73,3.6
1.22,15.0,6.0
2.0,3.75,3.5
2.5,2.88,3.3
7.0,1.5,4.0
2.6,2.7,3.4
2.5,2.8,3.4
1.3,12.0,5.0
1.25,13.0,5.5
1.14,21.0,7.5
1.91,4.2,3.4
2.4,3.0,3.25
7.0,1.44,4.5
1.22,15.0,6.0
4.5,1.8,3.6
2.0,3.8,3.4
1.53,6.5,4.0
1.25,13.0,5.5
2.2,3.4,3.25
1.29,13.0,5.0
1.13,26.0,8.0
2.6,2.75,3.25
1.67,5.5,3.6
5.5,1.67,3.6
6.5,1.53,4.0
2.6,2.75,3.25
1.83,4.75,3.4
2.5,2.88,3.25
4.0,1.91,3.5
2.1,3.5,3.4
6.0,1.57,4.0
1.91,4.2,3.4
1.33,10.0,5.0
2.63,2.75,3.25
1.5,7.0,4.0
5.0,1.73,3.6
1.53,7.0,3.8
2.4,3.0,3.25
3.0,2.38,3.3
1.4,8.5,4.5
1.4,9.0,4.33
1.14,17.0,8.0
1.25,13.0,5.5
2.0,3.8,3.4
1.73,5.0,3.6
4.75,1.8,3.5
9.0,1.4,4.33
6.0,1.62,3.75
1.53,6.5,4.0
2.0,3.8,3.4
5.5,1.62,4.0
2.0,3.8,3.4
1.91,4.2,3.4
1.91,4.2,3.4
2.5,2.88,3.25
2.8,2.5,3.4
1.91,4.0,3.6
4.33,1.85,3.5
1.33,10.0,5.0
4.0,2.0,3.25
1.22,15.0,6.0
5.0,1.7,3.8
1.8,4.75,3.5
2.63,2.7,3.3
5.0,1.7,3.75
1.83,4.5,3.5
1.91,4.2,3.5
1.29,11.0,5.5
1.3,10.0,5.5
2.0,3.75,3.5
1.91,4.0,3.6
2.25,3.3,3.25
2.1,3.6,3.3
3.5,2.1,3.4
2.5,2.88,3.3
2.0,3.8,3.4
2.0,3.8,3.4
2.38,3.0,3.3
2.0,3.75,3.5
3.25,2.25,3.3
1.91,4.0,3.5
1.85,4.33,3.6
3.5,2.1,3.4
1.83,4.5,3.5
1.44,7.5,4.33
5.5,1.67,3.6
2.5,2.88,3.25
1.29,11.0,5.5
1.17,17.0,7.0
1.57,6.0,4.0
2.63,2.75,3.25
2.4,3.0,3.25
2.75,2.63,3.25
2.5,2.75,3.4
6.5,1.53,4.0
2.1,3.5,3.4
2.38,3.0,3.4
2.0,3.75,3.5
1.13,21.0,8.5
3.1,2.38,3.25
1.83,4.5,3.5
4.2,1.91,3.4
2.5,2.88,3.25
1.57,6.5,3.75
2.1,3.5,3.4
2.88,2.4,3.4
2.5,2.88,3.25
2.5,2.88,3.25
1.4,8.5,4.5
2.88,2.5,3.25
3.8,2.0,3.4
2.38,3.0,3.3
1.29,11.0,5.5
1.83,4.33,3.6
6.0,1.62,3.75
1.44,7.5,4.33
1.73,5.5,3.4
1.83,4.5,3.5
2.75,2.6,3.3
1.8,4.5,3.6
9.0,1.33,5.0
2.4,2.88,3.4
3.0,2.3,3.4
1.91,4.0,3.6
5.0,1.73,3.6
1.4,8.5,4.5
1.33,10.0,5.0
2.4,2.9,3.4
1.83,4.33,3.6
1.29,11.0,5.5
1.73,4.75,3.75
6.0,1.62,3.75
2.0,3.8,3.4
2.2,3.4,3.25
2.3,3.1,3.4
1.22,15.0,6.0
4.5,1.83,3.5
1.83,4.5,3.5
1.7,5.0,3.75
1.22,12.0,6.5
5.5,1.57,4.2
2.63,2.75,3.25
2.3,3.1,3.4
2.88,2.4,3.4
1.4,8.5,4.5
9.0,1.36,4.75
2.4,2.88,3.4
2.6,2.75,3.3
1.25,12.0,6.0
1.44,7.5,4.33
3.0,2.4,3.3
1.57,6.0,4.0
3.3,2.2,3.4
1.91,4.0,3.6
2.4,2.88,3.4
1.17,15.0,7.5
2.2,3.4,3.3
1.83,4.5,3.5
3.5,2.1,3.4
1.53,6.0,4.2
1.29,11.0,5.5
3.5,2.1,3.4
1.25,13.0,5.5
2.1,3.5,3.4
9.0,1.36,4.75
7.0,1.44,4.5
6.0,1.53,4.2
1.5,6.5,4.2
1.91,4.0,3.5
2.1,3.5,3.4
1.22,13.0,6.5
1.25,12.0,6.0
2.0,3.6,3.6
2.3,3.2,3.3
2.1,3.5,3.4
2.2,3.4,3.3
1.91,4.0,3.6
1.67,5.5,3.75
4.0,1.91,3.6
1.44,7.5,4.33
1.3,11.0,5.0
12.0,1.22,6.5
1.91,4.0,3.5
1.83,4.5,3.5
3.8,2.0,3.4
4.33,1.83,3.6
2.0,3.75,3.5
1.53,6.5,4.0
2.1,3.5,3.4
2.8,2.5,3.4
1.4,8.5,4.5
1.36,8.0,5.0
2.1,3.4,3.5
1.62,5.5,4.0
2.75,2.6,3.25
4.0,1.91,3.6
1.5,6.5,4.33
1.22,12.0,6.5
4.2,1.83,3.75
2.0,3.75,3.5
1.83,4.33,3.6
1.17,17.0,7.0
5.0,1.67,4.0
1.83,4.2,3.75
5.0,1.7,3.75
2.4,2.88,3.5
2.1,3.4,3.5
1.3,10.0,5.5
2.2,3.2,3.5
1.13,19.0,9.0
2.2,3.25,3.4
2.38,2.88,3.5
7.0,1.44,4.5
3.4,2.1,3.5
1.4,8.5,4.5
5.0,1.67,4.0
1.57,6.0,4.0
1.4,8.5,4.5
1.8,4.5,3.6
2.5,2.75,3.4
2.0,3.8,3.4
2.38,3.1,3.25
4.2,1.91,3.5
2.2,3.4,3.3
1.17,17.0,7.0
6.0,1.62,3.75
4.33,1.83,3.6
1.25,13.0,5.5
2.9,2.4,3.4
1.5,6.5,4.33
1.29,11.0,5.5
2.25,3.2,3.4
2.1,3.5,3.4
2.1,3.6,3.3
1.5,6.5,4.33
3.1,2.3,3.4
3.5,2.1,3.4
1.18,15.0,7.0
2.2,3.4,3.3
1.36,8.5,5.0
3.0,2.38,3.3
2.5,2.88,3.25
2.25,3.3,3.25
2.0,3.75,3.5
1.62,6.0,3.75
6.0,1.53,4.2
1.36,8.5,5.0
2.38,3.1,3.25
2.1,3.5,3.4
1.25,12.0,6.0
2.38,3.0,3.4
4.5,1.83,3.5
5.0,1.73,3.6
3.4,2.2,3.3
3.75,2.0,3.5
1.73,5.0,3.6
1.36,9.0,4.75
2.4,3.0,3.3
3.0,2.4,3.3
1.73,4.75,3.75
2.1,3.6,3.3
2.4,3.0,3.3
2.7,2.63,3.3
1.75,4.75,3.6
1.8,4.5,3.6
1.44,7.5,4.33
2.1,3.5,3.4
1.4,8.0,4.75
4.33,1.83,3.6
1.57,6.0,4.0
4.75,1.73,3.75
2.88,2.5,3.3
1.91,4.2,3.4
2.0,3.8,3.4
2.4,3.0,3.3
2.05,3.75,3.4
1.22,12.0,6.5
1.29,11.0,5.5
1.91,4.0,3.6
1.83,4.2,3.75
4.0,1.91,3.6
4.2,1.91,3.4
1.44,7.5,4.33
4.2,1.83,3.75
2.75,2.6,3.3
1.44,7.5,4.33
1.8,4.5,3.6
1.33,10.0,5.0
1.29,11.0,5.5
6.0,1.53,4.2
2.1,3.5,3.4
2.5,2.75,3.4
5.0,1.7,3.75
1.83,4.2,3.75
3.25,2.2,3.4
2.5,2.88,3.3
1.36,8.5,5.0
2.0,3.75,3.5
1.22,15.0,6.0
2.75,2.5,3.4
1.95,4.2,3.3
2.25,3.2,3.4
2.4,2.9,3.4
2.6,2.75,3.3
2.0,3.75,3.5
4.2,1.83,3.75
2.75,2.5,3.4
1.7,5.0,3.8
2.6,2.75,3.3
2.1,3.6,3.3
4.5,1.8,3.6
1.5,6.5,4.33
5.0,1.7,3.8
1.57,6.0,4.0
1.8,4.5,3.6
1.73,4.75,3.75
1.53,6.0,4.2
7.0,1.44,4.5
1.44,8.0,4.2
2.25,3.2,3.4
2.38,2.88,3.5
1.91,4.2,3.4
2.3,3.1,3.4
1.95,4.0,3.5
1.57,6.0,4.0
1.95,3.8,3.6
1.91,3.8,3.75
1.44,7.5,4.33
1.2,15.0,6.5
1.91,4.0,3.6
7.0,1.44,4.5
1.91,4.0,3.6
4.33,1.83,3.6
3.75,2.0,3.5
1.67,5.25,3.75
2.0,3.8,3.4
4.75,1.73,3.75
1.44,7.5,4.33
1.17,15.0,7.5
2.2,3.4,3.3
2.5,2.88,3.3
