Team,2019,2018,2017,2016,2015,2014,2013,2012,2011
Man United,47,47,47,47,47,20,20,20,14
Man City,45,35,20,20,20,20,20,7.5,7.34
Chelsea,40,40,40,40,18,18,13.8,13.8,9.9
Liverpool,40,30,25,25,20,20,20,20,7.45
Arse l,40,30,30,30,30,30,5.5,5.5,5
Tottenham,35,35,16,16,16,19,10,10,8.45
West Ham,10,10,6,6,3,3,1.7,1.7,1.7
Everton,9.6,9.6,5.3,5.3,5.3,4,4,2.6,2.6
Crystal Palace,6.5,6.5,5,5,0.75,0.75, , , 
Newcastle,6.5,6, ,6,6,6,10,2.5,4.8
Southampton,6,6,6,1,1,1,1, , 
Wolves,5, , , , , , , , 
Burnley,5,2.5,2, , , , , , 
Leicester,4,4,1,1, , , , , 
Bournemouth,4,3.5,2,0.75, , , , , 
Fulham,3, , , , ,5,4.2,4,3
Cardiff,3, , , , ,0.5, , , 
Watford,3,3,1.5,1.4, , , , , 
Huddersfield,1.5,1.5, , , , , , , 
Brighton,1.5,1.5, , , , , , , 
Swansea, ,4.5,4,4,4,2,1.1, , 
West Brom, ,3,2.5,1.2,1.2,1.5,1.5,0.75, 
Middlesbrough, , ,1, , , , , , 
Hull, , ,3, ,1.6,1, , , 
Stoke, ,3.2,3.2,3,3,3,1.3,1,1
Aston Villa, , , ,5,5,5,8,5,0
QPR, , , , , , ,2.5, , 
Sunderland, , ,6,5,5,5,20,1,2.5
Wigan, , , , , , ,1,0.65,0.65
Reading, , , , , , ,0.5, , 
Norwich, , , ,1, ,1,1, , 